"Wahlkreis-
schlüssel",Wahlkreisname,Wahlvorschlagsträger,"Listenplatz-
nummer","Bewerber im
Stimmkreis",Titel,(Adels)zusatz,Vorname,Nachname,Geburtsjahr
1,Oberbayern,ÖDP,844,117,,,Felix,Bergauer,1969
1,Oberbayern,ÖDP,845,,,,Thomas,Wiedemann,1962
1,Oberbayern,ÖDP,846,,,,Sonja,Sachsinger,1951
1,Oberbayern,ÖDP,847,104,,,Hans Leo,Bader,1968
1,Oberbayern,ÖDP,848,,,,Wolfgang,Reiter,1964
1,Oberbayern,ÖDP,849,,,,Eduard,Böser,1981
1,Oberbayern,ÖDP,850,,,,Georg,Schmid,1967
1,Oberbayern,ÖDP,851,,Dr.,,Regine,Siebert,1938
1,Oberbayern,ÖDP,852,,,,Stephan,Koch,1985
1,Oberbayern,ÖDP,853,,,,Karin,Kuret,1964
1,Oberbayern,ÖDP,854,,,,Wolfgang,Meyer,1964
1,Oberbayern,ÖDP,855,,,,Michael,Stichlmair,1964
1,Oberbayern,ÖDP,856,,,,Brigitte,Knatz,1954
1,Oberbayern,ÖDP,857,,,,Nicolas,Deskau,1980
1,Oberbayern,ÖDP,858,,,,Stefan,Meiser,1957
1,Oberbayern,ÖDP,859,,,,Caroline,Lettenmayer,1963
1,Oberbayern,ÖDP,860,,,,Maria,Dirnaichner,1959
1,Oberbayern,ÖDP,861,,Dr.,,Klaus,Buchner,1941
1,Oberbayern,PIRATEN,901,105,,,Arnold,Schiller,1965
1,Oberbayern,PIRATEN,902,128,Dr.,,Olaf Konstantin,Krueger,1964
1,Oberbayern,PIRATEN,903,101,,,Jonathan,Babelotzky,1998
1,Oberbayern,PIRATEN,904,111,,,Myriam,Kalipke,1978
1,Oberbayern,PIRATEN,905,125,,,Reinhold,Deuter,1958
1,Oberbayern,PIRATEN,906,110,,,Dorothea,Beinlich,1956
1,Oberbayern,PIRATEN,907,,,,Thomas,Beinlich,1959
1,Oberbayern,PIRATEN,908,124,,,Manuel,Belas,1983
1,Oberbayern,PIRATEN,909,119,,,Christian,Doppler,1982
1,Oberbayern,PIRATEN,910,,,,Patrick,Emer,1984
1,Oberbayern,PIRATEN,911,127,Dr.,,Hartmut,Ernst,1949
1,Oberbayern,PIRATEN,912,123,,,Thomas,Knoblich,1972
1,Oberbayern,PIRATEN,913,129,,,Alexander,Kohler,1979
1,Oberbayern,PIRATEN,914,116,,,Stefan,Lorenz,1969
1,Oberbayern,PIRATEN,915,108,,,Thomas,Mayer,1979
1,Oberbayern,PIRATEN,916,107,,,Günther,Meyer,1975
1,Oberbayern,PIRATEN,917,102,,,Christopher,Morgenstern,1983
1,Oberbayern,PIRATEN,918,131,,,Carsten,Pfuhl,1984
1,Oberbayern,PIRATEN,919,104,,,Florian,Prauß,1981
1,Oberbayern,PIRATEN,920,,,,Michael,Purkart,1970
1,Oberbayern,PIRATEN,921,106,,,Nils,Puskeppelies,1973
1,Oberbayern,PIRATEN,922,118,,,Roger,Rösch,1990
1,Oberbayern,PIRATEN,923,122,,,Daniel,Seuffert,1966
1,Oberbayern,PIRATEN,924,113,Dr.,,Oliver,Welter,1975
1,Oberbayern,PIRATEN,925,117,,,Stefan,Hiesinger,1973
1,Oberbayern,AfD,1001,128,,,Franz,Bergmüller,1965
1,Oberbayern,AfD,1002,103,,,Uli,Henkel,1954
1,Oberbayern,AfD,1003,130,,,Markus,Plenk,1969
1,Oberbayern,AfD,1004,113,,,Christoph,Steier,1992
1,Oberbayern,AfD,1005,127,,,Andreas,Winhart,1983
1,Oberbayern,AfD,1006,116,,,Martin,Huber,1960
1,Oberbayern,AfD,1007,125,,,Christina,Wilhelm,1978
1,Oberbayern,AfD,1008,106,,,Markus,Walbrunn,1987
1,Oberbayern,AfD,1009,118,Dr.,,Ingo,Hahn,1971
1,Oberbayern,AfD,1010,117,,,Bernhard,Kranich,1964
1,Oberbayern,AfD,1011,119,,,gen. Kraus von Sande,"Kraus, Johannes",1969
1,Oberbayern,AfD,1012,102,,,Wilfried,Biedermann,1951
1,Oberbayern,AfD,1013,115,,,Oskar,Lipp,1995
1,Oberbayern,AfD,1014,122,,,Oliver,Multusch,1968
1,Oberbayern,AfD,1015,131,,,Rüdiger,Imgart,1956
1,Oberbayern,AfD,1016,104,,,Thomas,Hastreiter,1968
1,Oberbayern,AfD,1017,112,,,Jens,Schosnowski,1975
1,Oberbayern,AfD,1018,105,,,Michael,Groß,1955
1,Oberbayern,AfD,1019,110,,,Thomas,Schwembauer,1966
1,Oberbayern,AfD,1020,101,,,Misha,Bößenecker,1967
1,Oberbayern,AfD,1021,121,,,Rainer,Bolle,1962
1,Oberbayern,AfD,1022,111,Dr.,,Anne,Cyron,1955
1,Oberbayern,AfD,1023,109,,,Bruno,Fuchert,1951
1,Oberbayern,AfD,1024,123,,,Rainer,Groß,1960
1,Oberbayern,AfD,1025,108,,,Matthias,Helmer,1952
1,Oberbayern,AfD,1026,129,,,Klaus,Radtke,1953
1,Oberbayern,AfD,1027,124,,,Ulrich,Riediger,1954
1,Oberbayern,AfD,1028,120,,,Edeltraud,Schwarz,1967
1,Oberbayern,AfD,1029,114,,,Hilmar,Sturm,1973
1,Oberbayern,AfD,1030,126,,,Tobias,Teich,1984
1,Oberbayern,AfD,1031,107,,,Iris,Wassill,1969
1,Oberbayern,LKR,1101,123,,,Ulrike,Schütt,1965
1,Oberbayern,LKR,1102,102,Dr.,,Peter,Reich,1967
1,Oberbayern,LKR,1103,108,,,Andre,Wächter,1973
1,Oberbayern,LKR,1104,,,,Henning,Müllerke,1968
1,Oberbayern,LKR,1105,,,,Stefan,Lochmiller,1967
1,Oberbayern,LKR,1106,,Dr.,,Karl-Ludwig,Kuss,1942
1,Oberbayern,LKR,1107,101,Dr.,,Klaus-Jürgen,Werner,1951
1,Oberbayern,LKR,1108,,,,Anton,Seer,1969
1,Oberbayern,LKR,1109,,Dr.,,Wolfgang,Decker,1957
1,Oberbayern,LKR,1110,,Dr.,,Klemens,Zygan,1950
1,Oberbayern,LKR,1111,,,,Wolfgang,Ritz,1960
1,Oberbayern,LKR,1112,,,,Eva-Marie,Neufahrt,1946
1,Oberbayern,LKR,1113,,,,Heike,Grevé,1960
1,Oberbayern,LKR,1114,,,,Steffen,Bieler,1962
1,Oberbayern,LKR,1115,,,,Carsten,Ax,1968
1,Oberbayern,LKR,1116,,,,Julius,Grevé,1949
1,Oberbayern,LKR,1117,,,,Markus,Gehrig,1962
1,Oberbayern,LKR,1118,124,,,Silvia,Schalamow,1957
1,Oberbayern,mut,1201,109,,,Claudia,Stamm,1970
1,Oberbayern,mut,1202,108,Dr.,,Stephan,Lessenich,1965
1,Oberbayern,mut,1203,101,,,Marion,Ellen,1969
1,Oberbayern,mut,1204,123,Dr.,,Stephan,Pflaum,1975
1,Oberbayern,mut,1205,117,,,Katharina,Capric,1983
1,Oberbayern,mut,1206,102,,,Jens,Erdmann,1964
1,Oberbayern,mut,1207,130,,,Sabrina,Teifel,1985
1,Oberbayern,mut,1208,103,,,Harald,Faust,1964
1,Oberbayern,mut,1209,114,,,Afra,Held,1985
1,Oberbayern,mut,1210,124,,,Jörg,Linke,1961
1,Oberbayern,mut,1211,127,,,Marie-Luise,Kunst,1972
1,Oberbayern,mut,1212,,,,Marc,Ortmann,1991
1,Oberbayern,mut,1213,120,,,Mirella,Heidegger,1971
1,Oberbayern,mut,1214,129,,,Tim,King,1969
1,Oberbayern,mut,1215,112,,,Maria,Mayr,1972
1,Oberbayern,mut,1216,104,,,Axel,Schweiger,1957
1,Oberbayern,mut,1217,,,,Julia,Rothbauer,1977
1,Oberbayern,mut,1218,128,,,Joseph,Altenburger,1958
1,Oberbayern,mut,1219,111,,,Khando,Ronge,1978
1,Oberbayern,mut,1220,110,,,Thomas,Maier,1997
1,Oberbayern,mut,1221,,,,Sebastian,Felsner,1991
1,Oberbayern,mut,1222,,,,Karin,Estner,1961
1,Oberbayern,mut,1223,113,,,Hans-Joachim,Krüger,1953
1,Oberbayern,mut,1224,,,,Michaela,Dietrich,1983
1,Oberbayern,mut,1225,105,,,Dietmar,Hölscher,1967
1,Oberbayern,mut,1226,107,,,Sabine,Ziegler,1964
1,Oberbayern,mut,1227,118,,,Manfred,Maier,1967
1,Oberbayern,mut,1228,,Dr.,,Julia,Schreiner,1972
1,Oberbayern,mut,1229,,,,Massimo,Ferraro,1978
1,Oberbayern,mut,1230,,,,Anna,Schweda-Möller,1981
1,Oberbayern,mut,1231,121,,,Manuel,Kralik,1980
1,Oberbayern,mut,1232,,Dr.,,Gabriele,Philippczik,1971
1,Oberbayern,mut,1233,,,,Werner,Gaßner,1967
1,Oberbayern,mut,1234,,,,Andrea,Martschink,1962
1,Oberbayern,mut,1235,,,,Stefan,Hudler,1986
1,Oberbayern,mut,1236,,,,Angela,Schönweitz,1980
1,Oberbayern,mut,1237,,,,Martin,Heidegger,1966
1,Oberbayern,mut,1238,,,,Irmgard,Balser,1946
1,Oberbayern,mut,1239,,,,Berthold,Geiger,1963
1,Oberbayern,mut,1240,,,,Andrea,Pancur,1969
1,Oberbayern,mut,1241,,,,Thorsten,Geerken,1963
1,Oberbayern,mut,1242,,,,Stefanie,Eilers,1972
1,Oberbayern,mut,1243,,,,Wolfgang,Miller,1949
1,Oberbayern,mut,1244,,,,Franziska,Eslami,1962
1,Oberbayern,mut,1245,131,,,Heiner,Putzier,1953
1,Oberbayern,mut,1246,,,,Christine,Schulz,1974
1,Oberbayern,mut,1247,,,,Stefan,Wiesinger,1957
1,Oberbayern,mut,1248,,,,Corinna,Untergruber,1983
1,Oberbayern,mut,1249,,,,Sebastian,Epp,1987
1,Oberbayern,mut,1250,,Dr.,,Jana,Heinz,1971
1,Oberbayern,mut,1251,,Dr.,,Dieter,Ullrich,1959
1,Oberbayern,mut,1252,,,,Janna,Natrath-Bronner,1946
1,Oberbayern,mut,1253,,,,Klaus,Aschauer,1961
1,Oberbayern,mut,1254,,,,Daniela,Voß,1977
1,Oberbayern,mut,1255,,,,Sebastian,Schnitzenbaumer,1977
1,Oberbayern,mut,1256,,,,Anne,Wild,1965
1,Oberbayern,mut,1257,,,,Wilhelm,Warning,1948
1,Oberbayern,mut,1258,,,,Torsten,Meineke,1961
1,Oberbayern,mut,1259,,,,Nicole,Britz,1969
1,Oberbayern,mut,1260,,,,Hans,Glück,1958
1,Oberbayern,Die Humanisten,1301,119,,,Matthias,Knöferl,1985
1,Oberbayern,Die Humanisten,1302,,,,Michael,Eckert,1990
1,Oberbayern,Die Humanisten,1303,,,,Caroline,Giebelen,1974
1,Oberbayern,Die Humanisten,1304,,,,Daniel,Giesemann,1986
1,Oberbayern,Die Humanisten,1305,,,,Isabella,Höckmeier,1974
1,Oberbayern,Die Humanisten,1306,,,,Sascha,Larch,1968
1,Oberbayern,Die Humanisten,1307,,,,Martin,Ratzmann,1983
1,Oberbayern,Die Humanisten,1308,,,,Manuel,Schulz,1978
1,Oberbayern,Die Humanisten,1309,,,,Markus,Wierer,1982
1,Oberbayern,Die Humanisten,1310,,,,Wolfgang,Wachter,1953
1,Oberbayern,Die Humanisten,1311,,,,Christian,Horn,1969
1,Oberbayern,Die PARTEI,1401,111,,,Christian,Lutz,1987
1,Oberbayern,Die PARTEI,1402,124,,,Thomas,Gutbrod,1969
1,Oberbayern,Die PARTEI,1403,107,,,Marie,Burneleit,1979
1,Oberbayern,Die PARTEI,1404,103,,,Gerd,Bruckner,1958
1,Oberbayern,Die PARTEI,1405,,,,Maxi-Paula,Schwarzbauer,1992
1,Oberbayern,Die PARTEI,1406,117,,,Kevin,Neuwirth,1998
1,Oberbayern,Die PARTEI,1407,125,,,Christian,Blei,1998
1,Oberbayern,Die PARTEI,1408,,,,Oliver,Pyttlik,1969
1,Oberbayern,Die PARTEI,1409,,,,Samuel,Trapp,1988
1,Oberbayern,Die PARTEI,1410,104,,,Rüdiger,Tresselt,1965
1,Oberbayern,Die PARTEI,1411,127,,,Ricarda,Krüger,1989
1,Oberbayern,Die PARTEI,1412,108,,,Lukas,Reindl,1992
1,Oberbayern,Die PARTEI,1413,105,,,Alexander,Pschigoda,1978
1,Oberbayern,Die PARTEI,1414,,,,Jan,Meyer,1979
1,Oberbayern,Die PARTEI,1415,126,,,Max,Wallner,1968
1,Oberbayern,Die PARTEI,1416,119,,,Bernd,Sandner,1972
1,Oberbayern,Die PARTEI,1417,,,,Morris,Zalesjak,1999
1,Oberbayern,Die PARTEI,1418,,,,Andreas,Decker,1972
1,Oberbayern,Die PARTEI,1419,128,,,Peter,Schwab,1990
1,Oberbayern,Die PARTEI,1420,,,,Markus,Wieland,1994
1,Oberbayern,Die PARTEI,1421,,,,Andreas,Fießler,1986
1,Oberbayern,Die PARTEI,1422,116,,,Markus,Kuliberda,1958
1,Oberbayern,Die PARTEI,1423,115,,,Felix,Tischer,1995
1,Oberbayern,Die PARTEI,1424,114,,,Simon,Brunner,1997
1,Oberbayern,Die PARTEI,1425,,,,Josef,Waritschlager,1989
1,Oberbayern,Gesundheitsforschung,1501,,Dr.,,Kemal,Akman,1979
1,Oberbayern,Gesundheitsforschung,1502,,,,Barbara,Heubusch,1964
1,Oberbayern,Gesundheitsforschung,1503,108,,,Peter,Schippl,1961
1,Oberbayern,Gesundheitsforschung,1504,,,,Stefan,Szalay,1977
1,Oberbayern,Gesundheitsforschung,1505,,,,Alexander,Putze,1998
1,Oberbayern,Tierschutzpartei,1601,107,,,Thomas,Frank,1964
1,Oberbayern,Tierschutzpartei,1602,101,,,Meike,Jannicke,1989
1,Oberbayern,Tierschutzpartei,1603,113,,,Michael,Krämer,1959
1,Oberbayern,Tierschutzpartei,1604,,,,Marie Ann,Lasan,1957
1,Oberbayern,Tierschutzpartei,1605,,,,Elisabeth,Mindt,1959
1,Oberbayern,Tierschutzpartei,1606,123,,,Elisabeth,Reithmayer,1954
1,Oberbayern,Tierschutzpartei,1607,130,,,Manfred,Reithmayer,1954
1,Oberbayern,Tierschutzpartei,1608,105,,,Bernhard,Schwarz,1972
1,Oberbayern,Tierschutzpartei,1609,,,,Kim,Stoyhe,1993
1,Oberbayern,Tierschutzpartei,1610,103,,,Stephanie,Weiser,1979
1,Oberbayern,Tierschutzpartei,1611,118,,,Alexander,Wied,1972
1,Oberbayern,Tierschutzpartei,1612,104,Dr.,,Susanne,Wittmann,1965
1,Oberbayern,V-Partei³,1701,109,,,Christine,Rustler,1977
1,Oberbayern,V-Partei³,1702,103,,,Henrik,Lange,1979
1,Oberbayern,V-Partei³,1703,104,,,Marcel,Tönsmann,1989
1,Oberbayern,V-Partei³,1704,124,,,Jürgen,Preisinger,1962
1,Oberbayern,V-Partei³,1705,122,,,Magdalena,Lippa,1988
1,Oberbayern,V-Partei³,1706,116,,,Markus,Krätschmer,1984
1,Oberbayern,V-Partei³,1707,105,,,Susanne,Preisinger,1962
1,Oberbayern,V-Partei³,1708,108,,,Jürgen,Hackbarth,1961
1,Oberbayern,V-Partei³,1709,119,,,Antje,Meinen,1965
1,Oberbayern,V-Partei³,1710,114,,,Yasemin,Capan,1980
1,Oberbayern,V-Partei³,1711,106,,,Maximilian,Preisinger,1993
1,Oberbayern,V-Partei³,1712,102,,,Henrietta,Lorko,1970
1,Oberbayern,V-Partei³,1713,107,Dr.,,Till,Arnold,1982
1,Oberbayern,V-Partei³,1714,118,,,Christine,Berchtold-Benchieb,1973
1,Oberbayern,V-Partei³,1715,111,,,Roland,Mittelmaier,1959
1,Oberbayern,V-Partei³,1716,101,,,Aneta,Roger,1995
1,Oberbayern,V-Partei³,1717,129,,,Gregor,Lange,1982
1,Oberbayern,V-Partei³,1718,131,,,Maike,Seewald,1991
1,Oberbayern,V-Partei³,1719,126,,,Sebastian,Steinacher,1981
1,Oberbayern,V-Partei³,1720,,,,Manfred,Kellberger,1952
1,Oberbayern,V-Partei³,1721,,,,Kerstin,Hell,1969
1,Oberbayern,V-Partei³,1722,,,,Marianne,Mittelmaier,1961
1,Oberbayern,V-Partei³,1723,,,,Sophia,Lindlbauer,1996
1,Oberbayern,V-Partei³,1724,,,,Josephine,Uphues,1996
1,Oberbayern,V-Partei³,1725,,,,Kathrin,Schmid,1982
1,Oberbayern,V-Partei³,1726,,,,Angelika,Selbmann,1963
1,Oberbayern,V-Partei³,1727,,,,Ferdinand,Kaiser,1976
1,Oberbayern,V-Partei³,1728,,,,Andreas,Naumann,1979
1,Oberbayern,V-Partei³,1729,,,,Jakob,Schuppe,1992
1,Oberbayern,V-Partei³,1730,,,,Krenar,Arifi,1964
2,Niederbayern,CSU,101,201,,,Bernd,Sibler,1971
2,Niederbayern,CSU,102,,,,Harald,Haase,1973
2,Niederbayern,CSU,103,,,,Hans,Ritt,1962
2,Niederbayern,CSU,104,203,,,Petra,Högl,1971
2,Niederbayern,CSU,105,,,,Stefan,Meyer,1984
2,Niederbayern,CSU,106,,Dr.,,Ralph,Pütz,1961
2,Niederbayern,CSU,107,,,,Monika,Haderer,1966
2,Niederbayern,CSU,108,,,,Benjamin,Taitsch,1992
2,Niederbayern,CSU,109,,,,Andreas,Diermeier,1985
2,Niederbayern,CSU,110,,,,Oliver,Antretter,1969
2,Niederbayern,CSU,111,,,,Johannes,Binder,1998
2,Niederbayern,CSU,112,207,,,Max,Gibis,1973
2,Niederbayern,CSU,113,202,Dr.,,Petra,Loibl,1965
2,Niederbayern,CSU,114,204,,,Helmut,Radlmeier,1966
2,Niederbayern,CSU,115,206,,,Walter,Taubeneder,1953
2,Niederbayern,CSU,116,208,,,Martin,Wagle,1966
2,Niederbayern,CSU,117,205,Dr.,,Gerhard,Waschler,1957
2,Niederbayern,CSU,118,209,,,Josef,Zellmeier,1964
2,Niederbayern,SPD,201,204,,,Ruth,Müller,1967
2,Niederbayern,SPD,202,201,Dr.,,Bernd,Vilsmeier,1966
2,Niederbayern,SPD,203,207,,,Bettina,Blöhm,1980
2,Niederbayern,SPD,204,205,,,Christian,Flisek,1974
2,Niederbayern,SPD,205,206,,,Sabine,Mayerhofer,1970
2,Niederbayern,SPD,206,209,Dr.,,Olaf,Sommerfeld,1976
2,Niederbayern,SPD,207,203,,,Harald,Unfried,1964
2,Niederbayern,SPD,208,202,,,Florian,Huber,1988
2,Niederbayern,SPD,209,208,,,Valentin,Kuby,1991
2,Niederbayern,SPD,210,,Dr.,,Jürgen,Rampmaier,1957
2,Niederbayern,SPD,211,,,,Martin,Rapke,1970
2,Niederbayern,SPD,212,,,,Stephan,Schweiger,1973
2,Niederbayern,SPD,213,,,,Martin,Kreutz,1981
2,Niederbayern,SPD,214,,,,Peter,Kaltenhauser,1964
2,Niederbayern,SPD,215,,,,Josef,Süß,1989
2,Niederbayern,SPD,216,,,,Hans,Hutter,1979
2,Niederbayern,SPD,217,,,,Robert,Kröll,1971
2,Niederbayern,SPD,218,,,,Sebastian,Hutzenthaler,1963
2,Niederbayern,FREIE WÄHLER,301,204,,,Hubert,Aiwanger,1971
2,Niederbayern,FREIE WÄHLER,302,202,,,Jutta,Widmann,1961
2,Niederbayern,FREIE WÄHLER,303,207,,,Manfred,Eibl,1960
2,Niederbayern,FREIE WÄHLER,304,201,Dr.,,Georg,Meiski,1963
2,Niederbayern,FREIE WÄHLER,305,203,Dr.,,Hubert,Faltermeier,1949
2,Niederbayern,FREIE WÄHLER,306,209,,,Tobias,Beck,1987
2,Niederbayern,FREIE WÄHLER,307,208,,,Werner,Schießl,1968
2,Niederbayern,FREIE WÄHLER,308,205,,,Roswitha,Toso,1963
2,Niederbayern,FREIE WÄHLER,309,206,,,Christian,Lindinger,1964
2,Niederbayern,FREIE WÄHLER,310,,,,Stephan,Weckmann,1968
2,Niederbayern,FREIE WÄHLER,311,,,,Georg,Bauer,1961
2,Niederbayern,FREIE WÄHLER,312,,,,Gerhild,Maiwald,1951
2,Niederbayern,FREIE WÄHLER,313,,,,Helmut,Schneemayer,1966
2,Niederbayern,FREIE WÄHLER,314,,,,Stefanie,Fischer,1968
2,Niederbayern,FREIE WÄHLER,315,,,,Helmut,Fichtner,1970
2,Niederbayern,FREIE WÄHLER,316,,,,Annette,Walter-Kilian,1964
2,Niederbayern,FREIE WÄHLER,317,,,,Jakob,Hirmer,1960
2,Niederbayern,FREIE WÄHLER,318,,,,Herbert,Daiberl,1963
2,Niederbayern,GRÜNE,401,204,,,Rosi,Steinberger,1960
2,Niederbayern,GRÜNE,402,206,,,Toni,Schuberl,1983
2,Niederbayern,GRÜNE,403,202,,,Marlene,Schönberger,1990
2,Niederbayern,GRÜNE,404,201,,,Christian,Heilmann,1965
2,Niederbayern,GRÜNE,405,209,,,Feride,Niedermeier,1975
2,Niederbayern,GRÜNE,406,205,,,Matthias,Weigl,1999
2,Niederbayern,GRÜNE,407,,,,Sigi,Hagl,1967
2,Niederbayern,GRÜNE,408,207,,,Jens,Schlüter,1979
2,Niederbayern,GRÜNE,409,,,,Maria,Kalin,1984
2,Niederbayern,GRÜNE,410,203,,,Daniel,Stephan,1985
2,Niederbayern,GRÜNE,411,,,,Sabine,Lindner,1963
2,Niederbayern,GRÜNE,412,,,,Wolfgang,Schwimmer,1978
2,Niederbayern,GRÜNE,413,,,,Antje,Laux,1964
2,Niederbayern,GRÜNE,414,,,,Matthias,Ernst,1994
2,Niederbayern,GRÜNE,415,208,,,Günther,Reiser,1946
2,Niederbayern,GRÜNE,416,,,,Richard,Zieglmeier,1955
2,Niederbayern,GRÜNE,417,,,,Lorenz,Rabanter,1980
2,Niederbayern,GRÜNE,418,,,,Eike,Hallitzky,1959
2,Niederbayern,FDP,501,204,,,Norbert,Hoffmann,1983
2,Niederbayern,FDP,502,207,,,Alexander,Muthmann,1956
2,Niederbayern,FDP,503,203,,,Jake,Curtis,1984
2,Niederbayern,FDP,504,209,,,Josefa,Schmid,1974
2,Niederbayern,FDP,505,208,,,Dominik,Heuwieser,1984
2,Niederbayern,FDP,506,205,,,Andreas,Dittlmann,1968
2,Niederbayern,FDP,507,201,,,Kenneth,Kooter,1978
2,Niederbayern,FDP,508,206,,,Bettina,Illein,1973
2,Niederbayern,FDP,509,,,,Jörg,Heimbeck,1969
2,Niederbayern,FDP,510,,,,Franz,Egerer,1973
2,Niederbayern,FDP,511,,,,Claus,Rothlehner,1981
2,Niederbayern,FDP,512,,,,Carmen,Brücher,1967
2,Niederbayern,FDP,513,,,,Anna,Däullary,1989
2,Niederbayern,FDP,514,,,,Ulrich,Falk,1972
2,Niederbayern,FDP,515,,,,Ernst,Binner,1958
2,Niederbayern,FDP,516,,,,Karl,Hauser,1958
2,Niederbayern,FDP,517,,,,Florian Christopher,Fleming,1990
2,Niederbayern,FDP,518,202,,,Marco Thomas,Altinger,1978
2,Niederbayern,DIE LINKE,601,205,,,Josef,Ilsanker,1975
2,Niederbayern,DIE LINKE,602,202,,,Aleksandra,Freinecker,1993
2,Niederbayern,DIE LINKE,603,209,,,Karl Heinz,Ringlstetter,1962
2,Niederbayern,DIE LINKE,604,,,,Christina,Süß,1990
2,Niederbayern,DIE LINKE,605,,,,Dennis,Neubert,1993
2,Niederbayern,DIE LINKE,606,,,,Susanne,Fischer,1963
2,Niederbayern,DIE LINKE,607,204,,,Stefan,Hemmann,1984
2,Niederbayern,DIE LINKE,608,207,,,Johannes,Spielbauer,1993
2,Niederbayern,DIE LINKE,609,201,,,Wolfgang,Reddies,1965
2,Niederbayern,DIE LINKE,610,206,,,Johannes,Hagnauer,1984
2,Niederbayern,DIE LINKE,611,208,,,Johannes,Freinecker,1997
2,Niederbayern,DIE LINKE,612,,,,Joseph,Schanzer,1999
2,Niederbayern,DIE LINKE,613,,,,Marco,Stöger,1993
2,Niederbayern,DIE LINKE,614,,,,Udo,Fischer,1954
2,Niederbayern,DIE LINKE,615,,,,Gottfried,Beicht,1951
2,Niederbayern,DIE LINKE,616,203,,,Mirco,Kalkkuhl,1978
2,Niederbayern,DIE LINKE,617,,,,Markus,Jocham,1962
2,Niederbayern,BP,701,203,,,Fritz,Zirngibl,1954
2,Niederbayern,BP,702,205,,,Franz,Maier,1980
2,Niederbayern,BP,703,208,,,Anton,Maller,1957
2,Niederbayern,BP,704,204,,,Robert,Neuhauser,1956
2,Niederbayern,BP,705,201,,,Thomas,Pfeffer,1989
2,Niederbayern,BP,706,202,,,Hans-Jürgen,Müller,1966
2,Niederbayern,BP,707,209,,,Florian,Geisenfelder,1991
2,Niederbayern,BP,708,207,,,Manuel Georg,Schindlbeck,1986
2,Niederbayern,BP,709,206,,,Kai-Uwe,Hafer,1968
2,Niederbayern,BP,710,,,,Hans,Kapfer,1961
2,Niederbayern,BP,711,,,,Florian,Thurmeier,1971
2,Niederbayern,BP,712,,,,Matthias,Prade,1989
2,Niederbayern,BP,713,,,,Robert,Manz,1977
2,Niederbayern,BP,714,,,,Maximilian,Rechenmacher,1963
2,Niederbayern,BP,715,,,,Peter,Frömel,1959
2,Niederbayern,BP,716,,,,Stefan,Kaunzinger,1970
2,Niederbayern,BP,717,,,,Gerhard,Schweiberger,1967
2,Niederbayern,BP,718,,,,Thomas,Heilmeier,1975
2,Niederbayern,ÖDP,801,205,,,Agnes,Becker,1980
2,Niederbayern,ÖDP,802,209,,,Bernhard,Suttner,1949
2,Niederbayern,ÖDP,803,,,,Edith,Lirsch,1958
2,Niederbayern,ÖDP,804,,,,Urban,Mangold,1963
2,Niederbayern,ÖDP,805,,,,Annette,Setzensack,1974
2,Niederbayern,ÖDP,806,204,,,Marie-Sophie,Vogel,1992
2,Niederbayern,ÖDP,807,206,,,Walter,Dankesreiter,1965
2,Niederbayern,ÖDP,808,,,,Josef,Gold,1955
2,Niederbayern,ÖDP,809,,,,Alois,Aigner,1962
2,Niederbayern,ÖDP,810,,,,Lorenz,Heilmeier,1963
2,Niederbayern,ÖDP,811,202,,,Klaus,Seufzger,1982
2,Niederbayern,ÖDP,812,207,,,Michael,Köberl,1974
2,Niederbayern,ÖDP,813,,,,Rudolf,Neuhierl,1961
2,Niederbayern,ÖDP,814,,,,Ingrid,Ohly,1948
2,Niederbayern,ÖDP,815,,,,Günther,Iglhaut,1964
2,Niederbayern,ÖDP,816,208,,,Elisabeth,Weindl,1968
2,Niederbayern,ÖDP,817,203,,,Anne,Rottengruber,1976
2,Niederbayern,ÖDP,818,201,,,Christian,Kerschl,1970
2,Niederbayern,PIRATEN,901,201,,,Mario,Filakovic,1972
2,Niederbayern,AfD,1001,201,,,Katrin,Ebner-Steiner,1978
2,Niederbayern,AfD,1002,208,,,Wolfgang,Hansbauer,1953
2,Niederbayern,AfD,1003,204,,,Günter,Straßberger,1963
2,Niederbayern,AfD,1004,202,,,Josef,Seidl,1963
2,Niederbayern,AfD,1005,205,,,Ralf,Stadler,1964
2,Niederbayern,AfD,1006,207,,,Johann,Müller,1959
2,Niederbayern,AfD,1007,209,,,Manfred,Kleinschwärzer,1949
2,Niederbayern,AfD,1008,203,,,Peter A.,Gebhardt,1948
2,Niederbayern,AfD,1009,206,,,Oskar,Atzinger,1963
2,Niederbayern,AfD,1010,,,,Gertraud,Sicker,1957
2,Niederbayern,AfD,1011,,,,Hedwig,Welsch-Ficklscherer,1951
2,Niederbayern,AfD,1012,,,,Werner,Kriegl,1974
2,Niederbayern,AfD,1013,,,,Andreas,Meißner,1991
2,Niederbayern,AfD,1014,,,,Simon,Bucher,1995
2,Niederbayern,mut,1101,203,,,Fabian,Helmich,1976
2,Niederbayern,mut,1102,,,,Annegret,Rau,1991
2,Niederbayern,mut,1103,208,,,Johann,Feirer,1960
2,Niederbayern,mut,1104,,,,Anna Christina,Zens,1958
2,Niederbayern,mut,1105,204,,,Maximilian,Geisel,1990
2,Niederbayern,mut,1106,,,,Margit,Zens,1990
2,Niederbayern,mut,1107,,,,Manfred Martin,Drescher,1951
2,Niederbayern,mut,1108,,,,Anna,Pollner,1992
